artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
369;Pastas alimenticias;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4688;4646;4674
340;Aceite vegetal mezcla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6233;5204;5733
88;Aguacate común;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2800;2867
90;Aguacate papelillo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4000;3800;3867
251;Carne de res, costilla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;10600;10867
258;Carne de res, falda;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
260;Carne de res, lomo fino;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22000;22000;22000
236;Leche en polvo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;27778;19904;24953
8;Lechuga Batavia;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2400;2300;2350
288;Pechuga de pollo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;8400;7600;8133
67;Pepino cohombro;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1300;1200;1250
57;Ahuyama;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1300;1200;1250
262;Carne de res, morrillo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;13000;13533
263;Carne de res, muchacho;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;17000;17000
224;Lenteja importada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2208;2184;2197
141;Pera importada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6316;6053;6184
289;Pierna pernil con rabadilla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5000;4600;4867
61;Ajo importado;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;7500;9083
283;Alas de pollo con costillar;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5600;5400;5467
266;Carne de res, pecho;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
267;Carne de res, punta de anca;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;19000;17000;17667
268;Carne de res, sobrebarriga;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;13000;13667
79;Limón común valluno;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2800;2833
336;Lomitos de atún en lata;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;29948;29375;29709
69;Pimentón;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2143;1857;1952
195;Arracacha amarilla;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2560;2400;2507
201;Arroz de primera;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3520;3360;3440
19;Cebolla cabezona blanca bogotana;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;833;792;813
116;Lulo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3300;3200;3250
144;Piña gold;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2000;2000;2000
30;Cebolla junca Aquitania;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2500;2400;2467
354;Chocolate amargo;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22692;22500;22605
82;Mandarina Arrayana;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2700;2600;2650
38;Arveja verde en vaina pastusa;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3600;3360;3500
207;Arveja verde seca importada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2048;1840;1952
65;Chócolo mazorca;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1286;1114;1186
4;Cilantro;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2500;2583
121;Mango manzano;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2000;1800;1867
341;Manteca;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4800;4080;4527
126;Manzana roja importada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6316;5789;6053
238;Queso costeño;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;16600;16600;16600
239;Queso cuajada;2020-02-01T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;11000;11000
