Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
ene-20;CARNES;Carne de res, morrillo;Buenaventura (Valle del Cauca); 12,950 
ene-20;CARNES;Carne de res, muchacho;Buenaventura (Valle del Cauca); 16,800 
ene-20;CARNES;Carne de res, pecho;Buenaventura (Valle del Cauca); 14,000 
ene-20;CARNES;Carne de res, punta de anca;Buenaventura (Valle del Cauca); 18,250 
ene-20;CARNES;Carne de res, sobrebarriga;Buenaventura (Valle del Cauca); 14,000 
ene-20;CARNES;Pechuga de pollo;Buenaventura (Valle del Cauca); 8,125 
ene-20;CARNES;Pierna pernil con rabadilla;Buenaventura (Valle del Cauca); 4,842 
ene-13;PESCADOS;Corvina, filete congelado nacional;Buenaventura (Valle del Cauca);16,000
ene-20;PESCADOS;Langostino 16-20;Buenaventura (Valle del Cauca); 52,000 
ene-20;PESCADOS;Pargo rojo platero;Buenaventura (Valle del Cauca); 22,500 
ene-20;PESCADOS;Sierra entera congelada;Buenaventura (Valle del Cauca); 12,167 
ene-20;PROCESADOS;Aceite vegetal mezcla;Buenaventura (Valle del Cauca); 5,527 
ene-20;PROCESADOS;Azúcar sulfitada;Buenaventura (Valle del Cauca); 2,290 
ene-20;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca); 90,576 
ene-20;PROCESADOS;Chocolate amargo;Buenaventura (Valle del Cauca); 22,604 
ene-20;PROCESADOS;Galletas saladas;Buenaventura (Valle del Cauca); 10,171 
ene-20;PROCESADOS;Gelatina;Buenaventura (Valle del Cauca); 22,504 
ene-20;PROCESADOS;Harina de trigo;Buenaventura (Valle del Cauca); 1,871 
ene-20;PROCESADOS;Harina precocida de maíz;Buenaventura (Valle del Cauca); 3,099 
ene-20;PROCESADOS;Jugo instantáneo (sobre);Buenaventura (Valle del Cauca); 24,803 
ene-20;PROCESADOS;Lomitos de atún en lata;Buenaventura (Valle del Cauca); 29,628 
ene-20;PROCESADOS;Manteca;Buenaventura (Valle del Cauca); 4,592 
ene-20;PROCESADOS;Margarina;Buenaventura (Valle del Cauca); 18,025 
ene-20;PROCESADOS;Mayonesa doy pack;Buenaventura (Valle del Cauca); 16,681 
ene-20;PROCESADOS;Panela redonda morena;Buenaventura (Valle del Cauca); 3,002 
ene-20;PROCESADOS;Pastas alimenticias;Buenaventura (Valle del Cauca); 4,675 
ene-20;PROCESADOS;Sal yodada;Buenaventura (Valle del Cauca); 804 
ene-20;PROCESADOS;Salsa de tomate doy pack;Buenaventura (Valle del Cauca); 12,581 
ene-20;PROCESADOS;Sardinas en lata;Buenaventura (Valle del Cauca); 6,866 
feb-20;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca); 1,113 
feb-20;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 10,829 
feb-20;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Buenaventura (Valle del Cauca); 3,950 
feb-20;VERDURAS Y HORTALIZAS;Cebolla cabezona blanca bogotana;Buenaventura (Valle del Cauca); 797 
feb-20;VERDURAS Y HORTALIZAS;Cebolla junca Aquitania;Buenaventura (Valle del Cauca); 2,483 
feb-20;VERDURAS Y HORTALIZAS;Chócolo mazorca;Buenaventura (Valle del Cauca); 1,217 
feb-20;VERDURAS Y HORTALIZAS;Cilantro;Buenaventura (Valle del Cauca); 3,385 
feb-20;VERDURAS Y HORTALIZAS;Fríjol verde en vaina;Buenaventura (Valle del Cauca); 2,846 
feb-20;VERDURAS Y HORTALIZAS;Habichuela;Buenaventura (Valle del Cauca); 2,863 
feb-20;VERDURAS Y HORTALIZAS;Lechuga Batavia;Buenaventura (Valle del Cauca); 2,375 
feb-20;VERDURAS Y HORTALIZAS;Pepino cohombro;Buenaventura (Valle del Cauca); 1,183 
feb-20;VERDURAS Y HORTALIZAS;Pimentón;Buenaventura (Valle del Cauca); 1,911 
feb-20;VERDURAS Y HORTALIZAS;Remolacha bogotana;Buenaventura (Valle del Cauca); 1,340 
feb-20;VERDURAS Y HORTALIZAS;Repollo blanco;Buenaventura (Valle del Cauca); 752 
feb-20;VERDURAS Y HORTALIZAS;Repollo morado;Buenaventura (Valle del Cauca); 799 
feb-20;VERDURAS Y HORTALIZAS;Tomate chonto regional;Buenaventura (Valle del Cauca); 2,667 
feb-20;VERDURAS Y HORTALIZAS;Zanahoria;Buenaventura (Valle del Cauca); 1,131 
feb-20;VERDURAS Y HORTALIZAS;Zanahoria bogotana;Buenaventura (Valle del Cauca); 1,417 
feb-20;FRUTAS;Aguacate común;Buenaventura (Valle del Cauca); 2,983 
feb-20;FRUTAS;Aguacate papelillo;Buenaventura (Valle del Cauca); 4,258 
feb-20;FRUTAS;Banano criollo;Buenaventura (Valle del Cauca); 1,271 
feb-20;FRUTAS;Curuba;Buenaventura (Valle del Cauca); 2,533 
feb-20;FRUTAS;Guayaba pera;Buenaventura (Valle del Cauca); 2,071 
feb-20;FRUTAS;Limón común valluno;Buenaventura (Valle del Cauca); 2,821 
feb-20;FRUTAS;Lulo;Buenaventura (Valle del Cauca); 3,183 
feb-20;FRUTAS;Mandarina Arrayana;Buenaventura (Valle del Cauca); 2,677 
feb-20;FRUTAS;Mango manzano;Buenaventura (Valle del Cauca); 2,338 
feb-20;FRUTAS;Manzana roja importada;Buenaventura (Valle del Cauca); 6,138 
